scaffold	markerid	gene	Superkingdom	Phylum	Class	Order	Family	Genus	Species
k99_39582	k99_39582_4621	argS	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
k99_39578	k99_39578_1144	argS	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
k99_15280	k99_15280_64	argS	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
k99_35507	k99_35507_104	argS	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_14169	k99_14169_1071	argS	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
k99_459	k99_459_396	argS	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
k99_39446	k99_39446_1060	argS	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii
k99_9696	k99_9696_720	argS	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
k99_36779	k99_36779_152	argS	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
k99_4431	k99_4431_1413	argS	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis
k99_11866	k99_11866_684	cca	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
k99_7227	k99_7227_529	cca	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_32349	k99_32349_1520	cca	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum
k99_14169	k99_14169_1661	cca	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
k99_24427	k99_24427_585	cca	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
k99_5189	k99_5189_542	cca	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
k99_6587	k99_6587_531	cca	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
k99_39578	k99_39578_1202	cca	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
k99_36776	k99_36776_1303	cca	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
k99_30377	k99_30377_667	cca	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
k99_22788	k99_22788_2212	cca	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis
k99_26646	k99_26646_148	cca	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii
k99_42351	k99_42351_527	cca	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_31227	k99_31227_4347	cca	Archaea	Nanoarchaeota	Nanoarchaeum	Nanoarchaeum equitans	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)
k99_2272	k99_2272_64	cca	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax volcanii
k99_26909	k99_26909_938	cca	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
k99_25993	k99_25993_2623	dnaG	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Wolinella	Wolinella succinogenes
k99_23242	k99_23242_178	dnaG	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia xenovorans
k99_35861	k99_35861_519	dnaG	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas aurantiaca
k99_10909	k99_10909_391	dnaG	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans
k99_35465	k99_35465_678	dnaG	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea
k99_16812	k99_16812_9	dnaG	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga sp. RQ2
k99_32763	k99_32763_48	dnaG	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica
k99_8171	k99_8171_612	dnaG	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma gallisepticum
k99_4781	k99_4781_4273	dnaG	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens
k99_31219	k99_31219_11	dnaG	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii
k99_3911	k99_3911_377	dnaG	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga neapolitana
k99_13362	k99_13362_3480	dnaG	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola
k99_13603	k99_13603_190	dnaG	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis
k99_17592	k99_17592_2264	dnaG	Bacteria	Chloroflexi	Chloroflexi	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Herpetosiphon aurantiacus
k99_17867	k99_17867_46	dnaG	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum	Hydrogenobaculum sp. Y04AAS1
k99_33458	k99_33458_307	dnaG	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter wiegelii
k99_37984	k99_37984_223	dnaG	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	(Caldicellulosiruptor)
k99_5314	k99_5314_1239	dnaG	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris
k99_29387	k99_29387_174	dnaG	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus
k99_15826	k99_15826_101	dnaG	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium thermocellum
k99_27725	k99_27725_1	dnaG	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga sp. RQ2
k99_1780	k99_1780_98	dnaG	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermus thermophilus
k99_41140	k99_41140_48	dnaG	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella parapertussis
k99_19532	k99_19532_533	dnaG	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans
k99_3204	k99_3204_2395	dnaG	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium limicola
k99_17208	k99_17208_1140	dnaG	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum
k99_13928	k99_13928_9	dnaG	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	Sulfurihydrogenibium sp. YO3AOP1
k99_40843	k99_40843_1425	dnaG	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella	Persephonella marina
k99_26844	k99_26844_3482	dnaG	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula baltica
k99_41050	k99_41050_4	dnaG	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
k99_23582	k99_23582_266	dnaG	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
k99_32273	k99_32273_31	dnaG	Bacteria	Cyanobacteria	Nostocales	Nostocaceae	Nostoc	Nostoc sp. PCC 7120	(Nostoc sp. PCC 7120)
k99_17316	k99_17316_5475	dnaG	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
k99_36433	k99_36433_1111	dnaG	Bacteria	Chloroflexi	Chloroflexi	Chloroflexales	Chloroflexaceae	Chloroflexus	(Chloroflexus)
k99_23514	k99_23514_344	dnaG	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
k99_15770	k99_15770_48	dnaG	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Salinispora	Salinispora tropica
k99_7869	k99_7869_29	dnaG	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Leptothrix	Leptothrix cholodnii	(Leptothrix cholodnii)
k99_19310	k99_19310_1111	dnaG	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus	(Candidatus Arthromitus)
k99_22363	k99_22363_36	dnaG	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Salinispora	Salinispora arenicola
k99_4126	k99_4126_7731	dnaG	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	Akkermansia muciniphila
k99_26320	k99_26320_5	dnaG	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	(Roseobacter)
k99_24939	k99_24939_2359	dnaG	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum tepidum
k99_30382	k99_30382_2372	dnaG	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeobacteroides
k99_24579	k99_24579_160	dnaG	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	(Caldicellulosiruptor)
k99_27833	k99_27833_6158	dnaG	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeovibrioides
k99_7262	k99_7262_6	dnaG	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga naphthophila
k99_13804	k99_13804_9	dnaG	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	Sulfurihydrogenibium sp. YO3AOP1
k99_6380	k99_6380_18	dnaG	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria pomeroyi
k99_36456	k99_36456_497	dnaG	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis
k99_9842	k99_9842_1271	dnaG	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Pelodictyon	Pelodictyon phaeoclathratiforme
k99_27721	k99_27721_1	dnaG	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
k99_29226	k99_29226_798	dnaG	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus turgidum
k99_6789	k99_6789_5	dnaG	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	(Roseobacter)
k99_7582	k99_7582_17	dnaG	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	(Roseobacter)
k99_7965	k99_7965_2067	dnaG_archaea	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum
k99_20694	k99_20694_425	dnaG_archaea	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
k99_28051	k99_28051_128	dnaG_archaea	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_24427	k99_24427_45	dnaG_archaea	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
k99_25958	k99_25958_1133	dnaG_archaea	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
k99_34760	k99_34760_3936	dnaG_archaea	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis
k99_31227	k99_31227_3578	dnaG_archaea	Archaea	Nanoarchaeota	Nanoarchaeum	Nanoarchaeum equitans	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)
k99_28766	k99_28766_119	dnaG_archaea	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_39380	k99_39380_59	dnaG_archaea	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
k99_25040	k99_25040_92	dnaG_archaea	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax volcanii
k99_14370	k99_14370_122	dnaG_archaea	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
k99_7992	k99_7992_549	dnaG_archaea	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii
k99_3291	k99_3291_44	dnaG_archaea	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula	Haloarcula marismortui
k99_4134	k99_4134_309	dnaG_archaea	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
k99_6130	k99_6130_2962	dnaG_archaea	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
k99_26384	k99_26384_665	dnaG_archaea	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
k99_35939	k99_35939_5	dnaG_archaea	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma acidophilum
k99_29122	k99_29122_1834	dnaG_archaea	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
k99_33156	k99_33156_527	dph2	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii
k99_17596	k99_17596_159	dph2	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_9017	k99_9017_25	dph2	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax volcanii
k99_20668	k99_20668_275	dph2	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
k99_22780	k99_22780_470	dph2	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
k99_38661	k99_38661_342	dph2	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
k99_31723	k99_31723_620	dph2	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
k99_31227	k99_31227_977	dph2	Archaea	Nanoarchaeota	Nanoarchaeum	Nanoarchaeum equitans	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)
k99_26909	k99_26909_1082	dph2	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
k99_35749	k99_35749_220	dph2	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
k99_17586	k99_17586_208	dph2	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
k99_5934	k99_5934_20	dph2	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_35957	k99_35957_1487	dph2	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
k99_28814	k99_28814_603	dph5	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis
k99_3881	k99_3881_457	dph5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
k99_31227	k99_31227_1926	dph5	Archaea	Nanoarchaeota	Nanoarchaeum	Nanoarchaeum equitans	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)	(Nanoarchaeum equitans)
k99_34856	k99_34856_671	dph5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_39446	k99_39446_1133	dph5	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii
k99_14149	k99_14149_2454	dph5	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum
k99_518	k99_518_20	dph5	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax volcanii
k99_27323	k99_27323_557	dph5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_6424	k99_6424_819	dph5	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
k99_39582	k99_39582_902	dph5	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
k99_36624	k99_36624_507	dph5	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
k99_2626	k99_2626_308	dph5	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
k99_24269	k99_24269_185	dph5	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
k99_33705	k99_33705_384	dph5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
k99_13206	k99_13206_366	dph5	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
k99_5899	k99_5899_379	dph5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
k99_41021	k99_41021_25	fbpA	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
k99_4284	k99_4284_542	fbpA	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum
k99_8788	k99_8788_77	fbpA	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
k99_29177	k99_29177_273	fbpA	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
k99_7576	k99_7576_8	fbpA	Archaea	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)	(Aciduliprofundum boonei)
k99_35507	k99_35507_339	fbpA	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_12881	k99_12881_242	fbpA	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii
k99_31227	k99_31227_2375	fbpA	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum pendens
k99_24948	k99_24948_15	fbpA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax volcanii
k99_39626	k99_39626_605	fbpA	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis
k99_38718	k99_38718_357	fbpA	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
k99_31227	k99_31227_2021	fbpA	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
k99_33269	k99_33269_1125	fbpA	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
k99_15280	k99_15280_1221	fbpA	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
k99_39376	k99_39376_743	fbpA	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
k99_9696	k99_9696_2281	fbpA	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
k99_34944	k99_34944_343	fbpA	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
k99_5389	k99_5389_2257	fbpA	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
k99_32127	k99_32127_365	fbpA	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
k99_10443	k99_10443_22	fen1	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis
k99_21260	k99_21260_74	fen1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
